,id,name,description,modified,available_comics,available_series,year,year_tags
258,1011328,Maestro,,2011-01-07,23,8,2011-01-01,2010-2017
259,1010867,Magdalene,,1969-12-31,7,3,1969-01-01,1969
260,1013483,Nakia (Nakia),,2017-08-24,2,2,2017-01-01,2010-2017
261,1009466,Namor,,2016-05-26,325,125,2016-01-01,2010-2017
262,1009468,Namora,,2011-09-07,50,17,2011-01-01,2010-2017
263,1009469,Namorita,,2013-11-20,62,22,2013-01-01,2010-2017
265,1009547,Natasha Romanoff,,1969-12-31,19,8,1969-01-01,1969
266,1010365,Nebula,,2014-07-17,29,17,2014-01-01,2010-2017
269,1011086,Nemesis,,2004-04-14,35,6,2004-01-01,2004
272,1011336,New Mutants,,2017-10-13,273,52,2017-01-01,2010-2017
273,1010683,New Warriors,,2013-11-01,94,19,2013-01-01,2010-2017
274,1011271,New X-Men,,2014-04-29,45,11,2014-01-01,2010-2017
275,1011269,Newton Destine,,1969-12-31,3,2,1969-01-01,1969
276,1011303,Next Avengers,,1969-12-31,1,1,1969-01-01,1969
277,1010685,Nextwave,,1969-12-31,13,2,1969-01-01,1969
278,1009471,Nick Fury,,2016-02-10,526,196,2016-01-01,2010-2017
280,1009620,Obadiah Stane,,1969-12-31,4,2,1969-01-01,1969
281,1009480,Odin,,2014-06-12,214,84,2014-01-01,2010-2017
282,1009481,Ogun,,1969-12-31,7,4,1969-01-01,1969
283,1017840,Okoye,,2017-08-24,8,3,2017-01-01,2010-2017
284,1010882,Old Lace,,1969-12-31,13,7,1969-01-01,1969
285,1017810,Old Man Logan (Earth-807128),,2021-08-27,155,42,2021-01-01,2020-2021
286,1014160,Omega (Michael Pointer),,2021-08-27,1,1,2021-01-01,2020-2021
287,1010757,Omega Flight,,1969-12-31,10,3,1969-01-01,1969
288,1009482,Omega Red,,1969-12-31,57,21,1969-01-01,1969
289,1011329,Omega Sentinel,,1969-12-31,1,1,1969-01-01,1969
290,1011123,Omega the Unknown,,1969-12-31,16,5,1969-01-01,1969
291,1009483,Onslaught,,2014-04-29,46,27,2014-01-01,2010-2017
293,1009484,Oracle,,1969-12-31,20,13,1969-01-01,1969
294,1011202,Ord,,1969-12-31,11,5,1969-01-01,1969
295,1009485,Orphan,,1969-12-31,14,2,1969-01-01,1969
296,1010957,Orphan-Maker,,,18,2,,0
297,1009479,Otto Octavius,,1969-12-31,4,4,1969-01-01,1969
298,1014198,Outlaw (Inez Temple),,2021-08-27,14,6,2021-01-01,2020-2021
299,1011228,Outlaw Kid,,1969-12-31,3,1,1969-01-01,1969
300,1011150,Paibok,,1969-12-31,4,2,1969-01-01,1969
301,1010873,Paladin,,2014-04-29,24,14,2014-01-01,2010-2017
302,1010708,Pandemic,,1969-12-31,2,2,1969-01-01,1969
303,1011321,Paper Doll,,1969-12-31,3,1,1969-01-01,1969
304,1010357,Patch,,1969-12-31,1,1,1969-01-01,1969
305,1009492,Patriot,,2011-03-10,81,16,2011-01-01,2010-2017
307,1014267,Penance (Monet St. Croix),,2021-08-19,12,3,2021-01-01,2020-2021
308,1009493,Penance (Robert Baldwin),,2013-10-24,67,20,2013-01-01,2010-2017
